id_cliente,nombre,tipo_documento,numero_documento,fecha_nacimiento,segmento
575,Jennifer West,PAS,90144566,1985-04-08,PYME
599,Joseph Miller,PAS,29194834,1969-06-20,PYME
600,Jamie Castillo,DNI,90188482,1968-08-04,Retail
619,Jesse Dean,DNI,85131454,1995-10-24,Premium
621,Jeffrey Hammond,DNI,12203716,1998-06-24,PYME
664,Jay Kemp,PAS,84852965,1976-02-05,Premium
667,Jean Bowen,PAS,20342780,1977-01-03,Corporativo
670,Jennifer Harrison,PAS,67633594,1966-03-31,PYME
673,James Jones,CE,82402753,1995-12-30,PYME
685,Jacqueline Howell,DNI,47691627,1945-08-16,Corporativo
692,Jeremiah Roberts,DNI,85737117,1984-08-09,Retail
700,Julie Green,DNI,78423290,1979-06-24,Retail
701,Justin Bennett,DNI,60953124,1955-10-12,PYME
713,Jodi Dickson,PAS,35690805,1940-05-03,Premium
714,Jennifer Stone,DNI,63078223,2006-03-30,Retail
718,Jacob Cole,DNI,62514001,1965-11-24,Corporativo
719,Jillian Welch,PAS,46646430,1992-02-05,Premium
724,Jonathan Sampson,DNI,74087191,1951-04-25,Corporativo
733,Jasmine Castillo,CE,99603986,1966-05-17,PYME
738,James Caldwell,CE,74135257,1970-12-30,Retail
757,James Graves,PAS,77004811,1962-03-10,Premium
761,Joseph Powers,PAS,98111142,1977-04-22,Premium
767,Jason Harrington,CE,72123480,1986-12-11,Retail
771,Jennifer Calhoun,CE,84043344,2000-06-16,Corporativo
776,James Weber,CE,77849177,1950-03-24,PYME
780,Jeffrey Roberts,PAS,42610136,1969-07-31,PYME
781,Joseph Moore,CE,23031847,1950-05-09,Retail
787,Jamie Jones,PAS,83300980,1942-05-13,PYME
822,Joshua Gonzalez,DNI,46289686,2005-05-25,Corporativo
823,Joshua Mathews,DNI,86001006,1952-07-03,Premium
824,Joshua Cole,DNI,16641662,1981-09-27,Premium
829,Janice Greene,DNI,55024156,1984-12-29,Retail
835,James Boyd,CE,63525099,1983-06-30,Premium
836,Joshua Coleman,PAS,00494135,1971-03-12,Corporativo
841,Justin Crane,DNI,57840570,1958-07-18,Retail
843,Joseph Dunn,PAS,83501377,1975-04-07,Retail
863,Jeff Wise,PAS,80570571,1957-10-28,Premium
865,Joanna Sanchez,DNI,77197761,1970-12-29,PYME
867,Joshua Munoz,PAS,12208083,1989-03-25,Retail
875,John Taylor,CE,31876104,1949-03-08,Retail
879,Jennifer Jackson,CE,53513062,1970-05-30,Premium
893,Jonathan Fletcher,CE,16576360,1947-02-08,PYME
904,James Williams,DNI,24463837,1989-10-02,PYME
910,Jill Ferguson,DNI,09864983,1966-12-03,Corporativo
922,Justin Lucas,PAS,14700282,1964-07-13,Premium
923,James Martinez,DNI,16841347,1978-08-20,Retail
931,Jeffrey Martinez,DNI,03603893,1944-01-26,PYME
937,James Hester,PAS,96636204,1971-06-22,Retail
938,Jared Johnson,CE,09449476,2001-03-14,Corporativo
959,Jared Estrada,PAS,53347169,2001-04-16,Premium
981,Jason Harris,DNI,72325120,1974-07-31,PYME
989,James Walker,DNI,73148394,1991-06-12,Corporativo
990,Justin Ramos,PAS,35329415,1982-01-01,Corporativo
997,Jose Espinoza,DNI,68280836,1985-01-01,PYME
